Début,Fin,Nom,Région,Département,Commune,Objet,Thème
17 mai 2017,,Gérard Collomb,Ile-de-France,Yvelines,Trappes,Rencontre avec les forces de police,Sécurité et défense
27 mai 2017,,Gérard Collomb,Ile-de-France,Seine-Saint-Denis,La-Plaine-Saint-Denis,Finale de la coupe de France Angers-PSG,Hors action gouvernementale
2 juin 2017,,Gérard Collomb,Ile-de-France,Val-de-Marne,Orly,Accueil du Premier ministre indien,Hors action gouvernementale
5 juin 2017,,Gérard Collomb,Province,Nord,Thun-l'Evêque,Contrôles routiers et douarniers à la gare de péage,Sécurité et défense
8 juin 2017,,,International,Allemagne,Berlin,Déplacement à Berlin,International
9 juin 2017,,,International,Luxembourg,Luxembourg,Conseil Justice et affaires intérieures,International
11 juin 2017,,Gérard Collomb,Rhône,Rhône,Lyon,Vote en mairie du 5ème,Société
13 juin 2017,,Gérard Collomb,Ile-de-France,Seine-Saint-Denis,La-Plaine-Saint-Denis,Match France-Angleterre au Stade de France,Sécurité et défense
14 juin 2017,,Gérard Collomb,Ile-de-France,Yvelines,Les Mureaux,Hommage à Jean-Baptiste Salvaing et Jessica Schneider,Société
15 juin 2017,,Gérard Collomb,Rhône,Rhône,Lyon,Rupture du jeûne à la Grande mosquée,Société - Cultes
18 juin 2017,,Gérard Collomb,Rhône,Rhône,Lyon,Cérémonie nationale de l'Appel du Général de Gaulle,Culture et communication
20 juin 2017,,Gérard Collomb,Ile-de-France,Val-de-Marne,Fontenay-sous-Bois,Visite de l'OFPRA,Sécurité et défense
23 juin 2017,,Gérard Collomb,Province,Pas-de-Calais,Calais,Visite du port de Calais,Sécurité et défense
29 juin 2017,,Gérard Collomb,Province,Bouches-du-Rhône,Aix-en-Provence,Cérémonie de baptême des promotions de l'Ecole nationale supérieure des sapeurs-pompiers,Sécurité et défense
29 juin 2017,,Gérard Collomb,Ile-de-France,Seine-et-Marne,Melun,Cérémonie de fin de scolarité de la 123ème promotion des officiers,Société
30 juin 2017,,Gérard Collomb,Rhône,Rhône,Saint-Cyr-au-Mont-d'Or,Cérémonie de sortie des élèves commissaires et officiers,Sécurité et défense
13 juillet 2017,,Gérard Collomb,Rhône,Rhône,Lyon,Cérémonie et défilé du 14-Juillet,Société
14 juillet 2017,,Gérard Collomb,Province,Alpes-Maritimes,Nice,Hommage du 14 juillet 2017,Société
17 juillet 2017,,,Rhône,Rhône,Lyon,Election du nouveau maire de Lyon,Hors action gouvernementale
23 juillet 2017,24 juillet 2017,,International,Tunisie,Tunis,Réunion du groupe de contact des pays de la Méditerranée centrale,International
