Date visite,Nom,Département,Commune,Objet,Thème
27/04/2018,GOURAULT Jacqueline,Loiret,Orléans,Intervention groupe territorial MoDem,Etat et collectivités
26/04/2018,GOURAULT Jacqueline,Corrèze,Brive-la-Gaillarde,"Carrefour des collectivités locales – association des maires de
Corrèze",Etat et collectivités
19/04/2018,GOURAULT Jacqueline,Orne,Argentan,Congrès des maires de l’Orne,Etat et collectivités
06/04/2018,GOURAULT Jacqueline,Jura,LONS LE SAUNIER,Assemblée générale de l'association des maires du Jura,Etat et collectivités
30/03/2018,GOURAULT Jacqueline,Hauts-de-Seine,GARCHES,"Visite de l'hôpital de Garches et du service des accidentés de la
route",Santé et Sécurité routière
26/03/2018,GOURAULT Jacqueline,Val-de-Marne,ST MAURICE,Réunion du comité interministériel de la santé,Santé et Sécurité routière
24/03/2018,GOURAULT Jacqueline,Pyrénées-Atlantiques,SALIES DE BEARN,assemblée générale de l'association des maires - ADM 64,Etat et collectivités
23/03/2018,GOURAULT Jacqueline,Aveyron,ONET LE CHATEAU,"Congrès des maires et des présidents de communautés de
communes de l'Aveyron",Etat et collectivités
22/03/2018,GOURAULT Jacqueline,Loir-et-Cher,BLOIS,Visite sur la GEMAPI et la qualité de l'eau,"Etat et collectivités +
Développement durable"
17/03/2018,GOURAULT Jacqueline,Loir-et-Cher,"LA CHAPELLE
MONTMARTIN",Remise de la Légion d'Honneur à monsieur Claude CHANAL,Hors action gouvernementale
14/03/2018 - 15/03/2018,GOURAULT Jacqueline,Indre-et-Loire,TOURS,Apprentissage et éducation dans la ruralité,Etat et collectivités
08/03/2018 - 09/03/2018,GOURAULT Jacqueline,Haute-Savoie,"ANNECY
ST JULIEN EN GENEVOIS
CLUSES","Divers thèmes abordés : enjeux frontaliers, volets institutionnels
et financiers (communes d'Annecy, Saint-Julien-en-Genevois),
GEMAPI, échange avec personnels et syndicats de préfecture",Etat et collectivités
27/02/2018,GOURAULT Jacqueline,Corse-du-Sud,AJACCIO,"Rencontre avec les élus de Corse sur la réforme
constitutionnelle
Réunion avec les chefs de services de l'Etat",Etat et collectivités
09/02/2018,GOURAULT Jacqueline,Vienne,"CHATELLERAULT
POITIERS
JAUNAY MARIGNY","Visite du futur site du commissariat, PSQ police et gendarmerie,
réunions élus sur eau et assainissement et visite d’un site petite
enfance subventionné par la DETR",Etat et collectivités + sécurité
06/02/2018 - 07/02/2018,GOURAULT Jacqueline,Haute-Corse,BASTIA,"Dîner et nuit à la Préfecture de Haute-Corse
Visite de l'INRA à San Giuliano
Discours en présence des forces vives de la Région à Bastia",Etat et collectivités
02/02/2018,GOURAULT Jacqueline,Charente,"ANGOULEME
ROUILLAC
BELLEVIGNE","Commune nouvelle, MSAP, réunion élus locaux",Etat et collectivités
26/01/2018,GOURAULT Jacqueline,Isère,GRENOBLE,"Cérémonie de vœux aux personnels de la préfectures et sous-
préfecture, visite du CERT, dévoilement de plaque, visite du
GUDA et plateforme de naturalisation",Etat et collectivités
13/01/2018,GOURAULT Jacqueline,Loir-et-Cher,BRACIEUX,"Remise de la médaille de l’Ordre du Mérite Agricole à monsieur
Jean-Louis CORNUAU",Etat et collectivités
06/01/2018,GOURAULT Jacqueline,Haute-Corse,"CERVIONE
CHIATRA
SANT’ ANDREA","Visite des zones sinistrées par les incendies - rencontres avec
les élus et la population et d'une bergerie sinistrée - visite du PC
à Valle di Campoloro",Etat et collectivités
05/01/2018,GOURAULT Jacqueline,Corse-du-Sud,AJACCIO,"Rencontres avec élus, agriculteurs et socio-professionnels",Etat et collectivités
31/12/2017,GOURAULT Jacqueline,Loir-et-Cher,BLOIS,Visites et échanges avec les acteurs de la sécurité et de la santé,Sécurité et Défense
