code_circo,code_dpt,circo,departement,candidat,genre,site
62_1,62,1,Pas-de-Calais,Agnès CAUDRON,F,https://fnlegislatives.fr/candidats/agnes-caudron/
69_10,69,10,Rhône,Agnès MARION,F,https://fnlegislatives.fr/candidats/agnes-marion/
56_4,56,4,Morbihan,Agnès RICHARD,F,https://fnlegislatives.fr/candidats/agnes-richard/
75_12,75,12,Paris,Agnès VANDENBROUCK,F,https://fnlegislatives.fr/candidats/agnes-vandenbrouck/
38_10,38,10,Isère,Alain BREUIL,H,https://fnlegislatives.fr/candidats/alain-breuil/
68_4,68,4,Haut-Rhin,Alain FAVALETTO,H,https://fnlegislatives.fr/candidats/alain-favaletto/
86_4,86,4,Vienne,Alain Verdin,H,https://fnlegislatives.fr/candidats/alain-verdin/
62_2,62,2,Pas-de-Calais,Alban Heusèle,H,https://fnlegislatives.fr/candidats/alban-heusele/
93_8,93,8,Seine-Saint-Denis,Alexandra BOURGOIN,F,https://fnlegislatives.fr/candidats/alexandra-bourgoin/
94_11,94,11,Val-de-Marne,Alexandre GABORIT,H,https://fnlegislatives.fr/candidats/alexandre-gaborit/
83_3,83,3,Var,Aline RENCK-GUIGUE,F,https://fnlegislatives.fr/candidats/aline-renck-guigue/
08_3,8,3,Ardennes,Amandine Blomme,F,https://fnlegislatives.fr/candidats/amandine-blomme/
83_1,83,1,Var,Amaury Navarranne,H,https://fnlegislatives.fr/candidats/amaury-navarranne/
67_1,67,1,Bas-Rhin,Andréa DIDELOT,F,https://fnlegislatives.fr/candidats/andrea-didelot-2/
67_1,67,1,Bas-Rhin,Andréa DIDELOT,F,https://fnlegislatives.fr/candidats/andrea-didelot/
63_1,63,1,Puy-de-Dôme,Anne BISCOS,F,https://fnlegislatives.fr/candidats/anne-biscos/
06_8,6,8,Alpes-Maritimes,Anne KESSLER,F,https://fnlegislatives.fr/candidats/anne-kessler/
01_2,1,2,Ain,Anne Michaud,F,https://fnlegislatives.fr/candidats/anne-michaud/
74_5,74,5,Haute-Savoie,Anne-Françoise Abadie Parisi,F,https://fnlegislatives.fr/candidats/anne-francoise-abadie-parisi/
92_10,92,10,Hauts-de-Seine,Anne-Laure MALEYRE,F,https://fnlegislatives.fr/candidats/anne-laure-maleyre/
63_3,63,3,Puy-de-Dôme,Anne-Marie CARTA,F,https://fnlegislatives.fr/candidats/anne-marie-carta/
22_5,22,5,Côtes-d'Armor,Annick Lebiez,F,https://fnlegislatives.fr/candidats/annick-lebiez/
75_8,75,8,Paris,Annie VIGUIER,F,https://fnlegislatives.fr/candidats/annie-viguier/
71_2,71,2,Saône-et-Loire,Antoine Chudzik,H,https://fnlegislatives.fr/candidats/antoine-chudzik/
62_5,62,5,Pas-de-Calais,Antoine GOLLIOT,H,https://fnlegislatives.fr/candidats/antoine-golliot/
69_11,69,11,Rhône,Antoine MELLIES,H,https://fnlegislatives.fr/candidats/antoine-mellies/
75_14,75,14,Paris,Armelle GOASGUEN,F,https://fnlegislatives.fr/candidats/armelle-goasguen/
86_1,86,1,Vienne,Arnaud Fage,H,https://fnlegislatives.fr/candidats/arnaud-fage/
59_8,59,8,Nord,Astrid Leplat,F,https://fnlegislatives.fr/candidats/astrid-leplat/
91_7,91,7,Essonne,Audrey GUIBERT,F,https://fnlegislatives.fr/candidats/audrey-guibert/
77_8,77,8,Seine-et-Marne,Aurélie COURNET,F,https://fnlegislatives.fr/candidats/aurelie-cournet/
16_3,16,3,Charente,Aurelie De Azevedo,F,https://fnlegislatives.fr/candidats/aurelie-de-azevedo/
92_2,92,2,Hauts-de-Seine,Aurélie LE GOURLAY,F,https://fnlegislatives.fr/candidats/aurelie-le-gourlay/
75_3,75,3,Paris,Aurélien Legrand,H,https://fnlegislatives.fr/candidats/aurelien-legrand/
49_7,49,7,Maine-et-Loire,Aurore LAHONDÈS,F,https://fnlegislatives.fr/candidats/aurore-lahondes/
77_3,77,3,Seine-et-Marne,Aymeric Durox,H,https://fnlegislatives.fr/candidats/aymeric-durox/
49_4,49,4,Maine-et-Loire,Aymeric MERLAUD,H,https://fnlegislatives.fr/candidats/aymeric-merlaud/
51_3,51,3,Marne,Baptiste PHILIPPO,H,https://fnlegislatives.fr/candidats/baptiste-philippo/
54_1,54,1,Meurthe-et-Moselle,Barbara HOFFMANN,F,https://fnlegislatives.fr/candidats/barbara-hoffmann/
77_6,77,6,Seine-et-Marne,Béatrice ROULLAUD,F,https://fnlegislatives.fr/candidats/beatrice-roullaud/
76_5,76,5,Seine-Maritime,Bénédicte LE MOËL,F,https://fnlegislatives.fr/candidats/benedicte-le-moel/
91_8,91,8,Essonne,Benjamin BOUCHER,H,https://fnlegislatives.fr/candidats/benjamin-boucher/
49_6,49,6,Maine-et-Loire,Bernadette de LA BOURDONNAYE,F,https://fnlegislatives.fr/candidats/bernadette-de-la-bourdonnaye/
26_1,26,1,Drôme,Bernard SIRONNEAU,H,https://fnlegislatives.fr/candidats/bernard-sironneau/
56_1,56,1,Morbihan,Bertrand IRAGNE,H,https://fnlegislatives.fr/candidats/bertrand-iragne/
54_5,54,5,Meurthe-et-Moselle,Billy WINKENS,H,https://fnlegislatives.fr/candidats/billy-winkens/
01_4,1,4,Ain,Blanche Chaussat,F,https://fnlegislatives.fr/candidats/blanche-chaussat/
44_6,44,6,Loire-Atlantique,Brigitte NEDELEC,F,https://fnlegislatives.fr/candidats/brigitte-nedelec/
30_4,30,4,Gard,Brigitte ROULLAUD,F,https://fnlegislatives.fr/candidats/brigitte-roullaud/
74_1,74,1,Haute-Savoie,Brigitte THIERY-AUDUBERT,F,https://fnlegislatives.fr/candidats/brigitte-thiery-audubert/
53_1,53,1,Mayenne,Bruno de LA MORINIÈRE,H,https://fnlegislatives.fr/candidats/bruno-de-la-moriniere/
95_7,95,7,Val-d'Oise,Bruno MARCEL,H,https://fnlegislatives.fr/candidats/bruno-marcel/
33_3,33,3,Gironde,Bruno PALUTEAU,H,https://fnlegislatives.fr/candidats/bruneau-paluteau/
50_3,50,3,Manche,Carmen MASSON,F,https://fnlegislatives.fr/candidats/carmen-masson/
13_2,13,2,Bouches-du-Rhône,Caroline SICARD,F,https://fnlegislatives.fr/candidats/caroline-sicard/
22_4,22,4,Côtes-d'Armor,Catherine BLEIN,F,https://fnlegislatives.fr/candidats/catherine-blein/
84_4,84,4,Vaucluse,Catherine CANDELA,F,https://fnlegislatives.fr/candidats/catherine-candela/
47_1,47,1,Lot-et-Garonne,Catherine LESNE,F,https://fnlegislatives.fr/candidats/catherine-lesne/
85_1,85,1,Vendée,Catherine ROY,F,https://fnlegislatives.fr/candidats/catherine-roy/
69_5,69,5,Rhône,Cécile BÈNE,F,https://fnlegislatives.fr/candidats/cecile-bene/
54_6,54,6,Meurthe-et-Moselle,Cédric Marsolle,H,https://fnlegislatives.fr/candidats/cedric-marsolle/
54_3,54,3,Meurthe-et-Moselle,Céline DOLCEMASCOLO,F,https://fnlegislatives.fr/candidats/celine-dolcemascolo/
07_1,7,1,Ardèche,Céline Porquet,F,https://fnlegislatives.fr/candidats/celine-porquet/
45_3,45,3,Loiret,Charles de Gevigney,H,https://fnlegislatives.fr/candidats/charles-de-gevigney/
68_5,68,5,Haut-Rhin,Christelle RITZ,F,https://fnlegislatives.fr/candidats/christelle-ritz/
35_4,35,4,lle-et-Vilaine,Christian LECHEVALIER,H,https://fnlegislatives.fr/candidats/christian-lechevalier/
56_5,56,5,Morbihan,Christian MOUTON,H,https://fnlegislatives.fr/candidats/christian-mouton/
59_15,59,15,Nord,Christine ENGRAND,H,https://fnlegislatives.fr/candidats/christine-engrand/
