Finess,Année,Département,Commune,Nom,Catégorie,ivg_2018,medic_2018,tard_2018,% médic.,cat_medic,% tard.,cat_tard,évol_13_18,cat_evol,ivg_2013,ivg_2014,ivg_2015,ivg_2016,ivg_2017,ivg_2018,lat,lon
010000024,2018,AIN,BOURG EN BRESSE,CENTRE HOSPITALIER DE FLEYRIAT,Centres Hospitaliers,525,392,37,"0,7466666667",plus que la moyenne,"0,07047619048",plus que la moyenne,"-0,1706161137",en baisse,633,627,598,587,551,525,46.2027830164628,5.2192452144894
010000032,2018,AIN,BELLEY,CENTRE HOSPITALIER DE BELLEY,Centres Hospitaliers,91,78,3,"0,8571428571",plus que la moyenne,"0,03296703297",moins que la moyenne,"-0,3405797101",en baisse,138,117,91,96,94,91,45.7612081029408,5.68497612847046
010005239,2018,AIN,OYONNAX,CH DU HAUT BUGEY - GEOVREISSET,Centres Hospitaliers,63,50,0,"0,7936507937",plus que la moyenne,0,pas d'IVG tardives,"-0,6666666667",en forte baisse,189,179,176,177,121,63,46.2750589149894,5.62734768997551
020000519,2018,AISNE,SOISSONS,CH SOISSONS,Centres Hospitaliers,358,287,21,"0,8016759777",plus que la moyenne,"0,05865921788",moins que la moyenne,"-0,05291005291",en baisse,378,348,364,358,341,358,49.3709133632677,3.33582389374059
020001061,2018,AISNE,CHATEAU THIERRY,CH CHÂTEAU-THIERRY,Centres Hospitaliers,158,94,9,"0,5949367089",plus que la moyenne,"0,05696202532",moins que la moyenne,"0,3982300885",en hausse,113,115,136,109,108,158,49.050533012477,3.40865635208344
020000535,2018,AISNE,CHAUNY,CH CHAUNY,Centres Hospitaliers,225,127,15,"0,5644444444",moins que la moyenne,"0,06666666667",moins que la moyenne,"-0,1818181818",en baisse,275,259,280,282,216,225,49.6192901441404,3.20646552555766
020000162,2018,AISNE,ST QUENTIN,CH SAINT-QUENTIN,Centres Hospitaliers,399,295,27,"0,7393483709",plus que la moyenne,"0,06766917293",plus que la moyenne,"-0,0025",stable,400,380,371,366,419,399,49.8618454092128,3.26915268288148
020000394,2018,AISNE,LAON,CH LAON,Centres Hospitaliers,235,180,16,"0,7659574468",plus que la moyenne,"0,06808510638",plus que la moyenne,"0,103286385",en hausse,213,240,268,222,254,235,49.5637153867027,3.61096827863758
030000087,2018,ALLIER,VICHY,CH JACQUES LACARIN VICHY,Centres Hospitaliers,189,86,8,"0,455026455",moins que la moyenne,"0,04232804233",moins que la moyenne,"-0,2285714286",en baisse,245,239,215,275,235,189,46.1269619610332,3.43435385332523
030000061,2018,ALLIER,MOULINS,CENTRE HOSPITALIER DE MOULINS,Centres Hospitaliers,175,106,9,"0,6057142857",plus que la moyenne,"0,05142857143",moins que la moyenne,"-0,200913242",en baisse,219,171,198,167,167,175,46.5702948957609,3.32526416231874
030781116,2018,ALLIER,DESERTINES,HOPITAL PRIVE SAINT-FRANCOIS,Etablissements de Soins de Courte Durée,5,5,0,1,plus de 95%,0,pas d'IVG tardives,"-0,8780487805",en forte baisse,41,23,14,13,5,5,46.3452492951001,2.6197113092155
030000079,2018,ALLIER,MONTLUCON,CENTRE HOSPITALIER DE MONTLUCON,Centres Hospitaliers,300,215,14,"0,7166666667",plus que la moyenne,"0,04666666667",moins que la moyenne,"0,2145748988",en hausse,247,279,268,282,290,300,46.3427354736228,2.60863010567439
040000093,2018,ALPES-DE-HAUTE-PROVENCE,MANOSQUE,CENTRE HOSPITALIER DE MANOSQUE,Centres Hospitaliers,244,179,2,"0,7336065574",plus que la moyenne,"0,008196721311",moins que la moyenne,"-0,2606060606",en baisse,330,281,210,224,323,244,43.8271999440661,5.80967543399295
040000911,2018,ALPES-DE-HAUTE-PROVENCE,DIGNE LES BAINS,CENTRE HOSPITALIER DE DIGNE LES BAINS,Centres Hospitaliers,112,68,3,"0,6071428571",plus que la moyenne,"0,02678571429",moins que la moyenne,"-0,2328767123",en baisse,146,203,210,151,159,112,44.0771865487064,6.18721249104551
050000256,2018,HAUTES-ALPES,EMBRUN,CENTRE HOSPITALIER D'EMBRUN,Centres Hospitaliers,4,0,0,0,aucune,0,pas d'IVG tardives,,nouvel établissement,,,,,,4,44.5617588557019,6.49274509482292
050000231,2018,HAUTES-ALPES,BRIANCON,CH DES ESCARTONS DE BRIANCON,Centres Hospitaliers,114,98,1,"0,8596491228",plus que la moyenne,"0,008771929825",moins que la moyenne,"0,14",en hausse,100,96,116,129,117,114,44.9072642695455,6.63299546616609
