Nom,Structure,Methodes Pratiquees,Horaires,Lien,Adresse,Ville,Dép.,Rég.
Dr Laurence LEVY-DUTEL,Cabinet médical,IVG médicamenteuse,01 41 41 94 84 ,https://www.ivglesadresses.org/centre_davortement/dr-laurence-levy-dutel/,13 rue des Longs Prés,"92100, BOULOGNE-BILLANCOURT",92,11
Centre de la Croix Nobillon,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG) - Centre de PMI,,01 71 29 52 52 Consultations et entretiens avec la conseillère conjugale sur rendez-vous.,https://www.ivglesadresses.org/centre_davortement/centre-pmi-croix-nobillon/,1 rue de la Croix Nobillon,"93600, AULNAY-SOUS-BOIS",93,11
Hôpital de Metz-Mercy,Hôpital,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,03.87.34.51.67 03.87.55.31.31,https://www.ivglesadresses.org/centre_davortement/hopital-de-metz-mercy/,"1, allée du château","57530, Metz",57,44
Centre de Planification et d’Education Familiale Nancy,Centre de Planification et d'Education Familiale,IVG médicamenteuse,Tous les jours: 8h00-16h30 sauf mercredi: 17h30;03.83.34.43.18 03.83.34.44.44,https://www.ivglesadresses.org/centre_davortement/centre-de-planification-deducation-familiale-nancy/,"10, rue du Dr Heydenreich","54000, Nancy",54,44
Dr Jeanne Le Bas,Cabinet médical,IVG médicamenteuse, ,https://www.ivglesadresses.org/centre_davortement/dr-jeanne-bas/,49 avenue Liberté,"14460, Colombelles",14,28
Centre d’Accueil et de Soins Hospitaliers,Centre de Planification et d'Education Familiale,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 9h à 16h30;01 47 69 66 41 Consultations IVG sur RDV;Standard hôpital: 01 47 69 65 65,https://www.ivglesadresses.org/centre_davortement/centre-daccueil-et-de-soins-hospitaliers/,403 avenue de la République,"92014, NANTERRE",92,11
Hôpital Privé du Vert Galant,Hôpital privé,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,"Secrétariat;Du lundi au vendredi - De 9h à 19h;Le samedi - De 9h à 18h;01 49 63 50 55 / 50 56 Consultations IVG sur RDV;Du lundi au samedi;Standard 0826 30 93 93 (Coût d’un appel: 0,15€ TTC/min)",https://www.ivglesadresses.org/centre_davortement/hopital-prive-du-vert-galant/,38 rue de Flandre,"93290, TREMBLAY-EN-FRANCE",93,11
Centre de PMI et de Planification Orgemont,Centre de Planification et d’Education Familiale (ne pratique pas d'IVG),,01 48 41 52 74 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-orgemont/,120 rue d’Orgemont,"93800, EPINAY-SUR-SEINE",93,11
Centre de PMI et de Planification des Lilas,Centre de Planification et d'Education Familiale,IVG médicamenteuse,01 43 63 97 38 ,https://www.ivglesadresses.org/centre_davortement/centre-pmi-les-lilas/,"18, Rue du Garde de Chasse","93260, LES LILAS",93,11
Centre Hospitalier Courbevoie-Neuilly-Puteaux,Centre de Planification et d'Education Familiale,IVG chirurgicale (anesthésie générale) - IVG médicamenteuse,Secrétariat;Du lundi au vendredi;De 9h à 16h30;01 40 88 61 64 / 61 63 Consultations IVG sur RDV;Standard: 01 40 88 60 00,https://www.ivglesadresses.org/centre_davortement/centre-hospitalier-courbevoie-neuilly-puteaux/,36 boulevard du Général Leclerc,"92200, NEUILLY-SUR-SEINE",92,11
