Avantage,Montant,Date,Nature,Desc.,Catégorie,Prénom,Nom,Fonction / Profession,Adresse professionnelle,Compl. adresse,Compl. adresse,Code postal,Ville,Pays
Avantage 49,"166,00 €",25/10/2016,invitation,,Parlementaire,Philippe,Adnot,Sénateur,Sénat,Casier de la Poste,15. rue de Vaugirard,75291,Paris Cedex 06,France
Avantage 50,"166,00 €",25/10/2016,invitation,,Parlementaire,Jean-Marie,Bockel,Sénateur,Sénat,Casier de la Poste,15. rue de Vaugirard,75291,Paris Cedex 07,France
Avantage 51,"166,00 €",25/10/2016,invitation,,Parlementaire,Marie-Christine,Dalloz,Députée,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 52,"166,00 €",25/10/2016,invitation,,Parlementaire,Philippe,Dominati,Sénateur,Sénat,Casier de la Poste,,75291,Paris Cedex 08,France
Avantage 53,"166,00 €",25/10/2016,invitation,,Parlementaire,Yannick,Favennec,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 54,"166,00 €",25/10/2016,invitation,,Parlementaire,Alain,Néri,Sénateur,Sénat,Casier de la Poste,,75291,Paris Cedex 09,France
Avantage 55,"166,00 €",25/10/2016,invitation,,Parlementaire,Catherine,Procaccia,Sénatrice,Sénat,Casier de la Poste,15. rue de Vaugirard,75291,Paris Cedex 10,France
Avantage 56,"166,00 €",25/10/2016,invitation,,Parlementaire,Didier,Quentin,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 57,"166,00 €",25/10/2016,invitation,,Collaborateur du President de l'Assemblée nationale,Alain,Sauret,Chargé de mission,Sénat,Casier de la Poste,15. rue de Vaugirard,75291,Paris Cedex 11,France
Avantage 39,"165,00 €",05/04/2016,invitation,,Parlementaire,Jean-Marie,Bockel,Sénateur,Sénat,Casier de la Poste,15. rue de Vaugirard,75291,Paris Cedex 12,France
Avantage 40,"165,00 €",05/04/2016,invitation,,Parlementaire,Marie-Christine,Dalloz,Députée,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 41,"165,00 €",05/04/2016,invitation,,Parlementaire,Philippe,Dominati,Sénateur,Sénat,Casier de la Poste,"15, rue de Vaugirard",75291,Paris Cedex 13,France
Avantage 42,"165,00 €",05/04/2016,invitation,,Parlementaire,Alain,Joyandet,Sénateur,Sénat,Casier de la Poste,"15, rue de Vaugirard",75291,Paris Cedex 14,France
Avantage 43,"165,00 €",05/04/2016,invitation,,Parlementaire,Jean-François,Mancel,Député,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
Avantage 45,"165,00 €",05/04/2016,invitation,,Parlementaire,Christine,Pirès-Beaune,Députée,Assemblée nationale,"126, rue de l'Université",,75355,Paris 07 SP,France
