Code région,Libellé de la région,Nom de l'élu,Prénom de l'élu,Date de début du mandat,Libellé de fonction,Date de début de la fonction,Nuance mandat,Nuance mars 2018,N° Identification d'un élu,Parti,Lien
84,Auvergne-Rhône-Alpes,BOLVIN,Béatrix,1/1/2016,,,FN,non-inscrit,1509895,aucun,http://www.ledauphine.com/isere-sud/2017/12/09/beatrix-bolvin-claque-la-porte-du-groupe-fn
84,Auvergne-Rhône-Alpes,DELACROIX,Pierre,1/1/2016,,,FN,non-inscrit,1088701,aucun,https://www.lyonmag.com/article/93555/pierre-delacroix-8220-le-front-national-ne-sait-plus-ou-il-habite-8221
84,Auvergne-Rhône-Alpes,GARCIN,Jean-Marie,1/1/2016,,,FN,non-inscrit,1509925,aucun,
84,Auvergne-Rhône-Alpes,ABADIE PARISI,Anne-Françoise,1/1/2016,,,FN,FN,1509927,FN,
84,Auvergne-Rhône-Alpes,AMOS,Olivier,1/1/2016,,,FN,FN,1509894,FN,
84,Auvergne-Rhône-Alpes,BARBIER,Jean Pierre,1/1/2016,,,FN,FN,1509913,FN,
84,Auvergne-Rhône-Alpes,BOUDOT,Christophe,1/1/2016,Autre membre commission permanente,4/1/2016,FN,FN,1181030,FN,
84,Auvergne-Rhône-Alpes,BREUIL,Alain,1/1/2016,,,FN,FN,44724,FN,
84,Auvergne-Rhône-Alpes,BURGAZ,Muriel,1/1/2016,Autre membre commission permanente,4/1/2016,FN,FN,1509897,FN,
84,Auvergne-Rhône-Alpes,CHALON,Pénélope,1/1/2016,,,FN,FN,1509884,FN,
84,Auvergne-Rhône-Alpes,CHAUSSAT,Maxime,1/1/2016,,,FN,FN,1509885,FN,
84,Auvergne-Rhône-Alpes,CHAVELET,Stanislas,1/1/2016,Autre membre commission permanente,4/1/2016,FN,FN,1509910,FN,
84,Auvergne-Rhône-Alpes,COATIVY,Muriel,1/1/2016,Autre membre commission permanente,4/1/2016,FN,FN,1429295,FN,
84,Auvergne-Rhône-Alpes,DAUCHY,Marie,1/1/2016,Autre membre commission permanente,4/1/2016,FN,FN,1509924,FN,
84,Auvergne-Rhône-Alpes,DE KERVEREGUIN,Marie,1/1/2016,,,FN,FN,1318553,FN,
84,Auvergne-Rhône-Alpes,DE PEYRECAVE,Gabriel,1/1/2016,,,FN,FN,1181041,FN,
84,Auvergne-Rhône-Alpes,DESIES,Bruno,1/1/2016,Autre membre commission permanente,4/1/2016,FN,FN,1509900,FN,
84,Auvergne-Rhône-Alpes,DULAC,Michel,1/1/2016,,,FN,FN,1509886,FN,
84,Auvergne-Rhône-Alpes,FAUROT,Eric,1/1/2016,,,FN,FN,1510004,FN,
84,Auvergne-Rhône-Alpes,FAVRE,Marie,9/11/2016,,,FN,FN,834277,FN,
84,Auvergne-Rhône-Alpes,FRITZ,Richard,1/1/2016,,,FN,FN,1277765,FN,
84,Auvergne-Rhône-Alpes,JOLLY,Alexis,1/1/2016,,,FN,FN,1318811,FN,
84,Auvergne-Rhône-Alpes,LACROIX,Gilles,1/1/2016,,,FN,FN,739039,FN,
84,Auvergne-Rhône-Alpes,LECAILLON,Vincent,1/1/2016,,,FN,FN,1447035,FN,
84,Auvergne-Rhône-Alpes,LIGOUT,Sandrine,1/1/2016,,,FN,FN,1430433,FN,
84,Auvergne-Rhône-Alpes,MARION,Agnès,1/1/2016,Autre membre commission permanente,4/1/2016,FN,FN,1499705,FN,
84,Auvergne-Rhône-Alpes,MELLIES,Antoine,1/1/2016,,,FN,FN,1428084,FN,
84,Auvergne-Rhône-Alpes,MONNIER,Thibaut,1/1/2016,Autre membre commission permanente,4/1/2016,FN,FN,1509889,FN,
84,Auvergne-Rhône-Alpes,PELLIER,Laure,1/1/2016,,,FN,FN,1509892,FN,
84,Auvergne-Rhône-Alpes,PERROT,Charles,1/1/2016,Autre membre commission permanente,4/1/2016,FN,FN,4775,FN,
84,Auvergne-Rhône-Alpes,PORQUET,Céline,1/1/2016,,,FN,FN,1221916,FN,
84,Auvergne-Rhône-Alpes,ROBERT,Sophie,1/1/2016,Autre membre commission permanente,4/1/2016,FN,FN,1181060,FN,
84,Auvergne-Rhône-Alpes,SÉNÉCLAUZE,Thierry,1/1/2016,,,FN,FN,1509893,FN,
