code_insee,Population municipale,Nom de la commune,nom,groupe,2018,2016,variation
01143,9644,Divonne-les-Bains,Étienne Blanc,Les républicains,114549.4,102735.23,11.499628705751668
06004,72999,Antibes,Jean Leonetti,Les républicains,586513.12,543034.2,8.00666330039619
06083,28958,Menton,Jean-Claude Guibal,Les républicains,263823.96,234649.83,12.433049706449834
06088,340017,Nice,Christian Estrosi,Les républicains,1509914.06,1481754.81,1.9003987576055175
06161,15241,Villeneuve-Loubet,Lionnel Luca,Les républicains,156881.12,155233.26,1.061537971952651
10387,61652,Troyes,François Baroin,Union pour un mouvement populaire,603100.91,479180.7,25.860851657840144
11206,10066,Limoux,Jean-Paul Dupré,"Socialiste, écologiste et républicain",174179.88,178885.6,-2.630575071442308
13056,48188,Martigues,Gaby Charroux,Gauche démocrate et républicaine,380842.72,374220.24,1.7696744569454557
13112,8689,Velaux,Jean-Pierre Maggi,"Radical, républicain, démocrate et progressiste",105397.77,104320.08,1.0330609409041887
2A004,70659,Ajaccio,Laurent Marcangeli,Les républicains,418962,399424.5,4.891412519762809
2B037,7923,Biguglia,Sauveur Gandolfi-Scheit,Les républicains,108360.29,105339.34,2.8678269675887442
21054,21031,Beaune,Alain Suguenot,Les républicains,338614.33,301522.78,12.301408868676518
23096,13161,Guéret,Michel Vergnier,"Socialiste, écologiste et républicain",165818.4,162600.78,1.978846595938836
26057,10205,Bourg-de-Péage,Nathalie Nieson,"Socialiste, écologiste et républicain",168783.12,156671.06,7.73088533389638
26108,8505,Crest,Hervé Mariton,Les républicains,99222.99,99574.05,-0.35256173671754604
26198,39097,Montélimar,Franck Reynier,Union des démocrates et indépendants,208108.64,207800.46,0.14830573522311843
30113,237,Fons-sur-Lussan,Fabrice Verdier,"Socialiste, écologiste et républicain",16928.74,16837.68,0.540810848050333
31375,3032,Montesquieu-Volvestre,Patrick Lemasle,"Socialiste, écologiste et républicain",65955.17,64478.34,2.29042807243487
33009,11284,Arcachon,Yves Foulon,Les républicains,198959.62,196616.39,1.1917775522172802
34196,159,Pégairolles-de-l'Escalette,Frédéric Roig,"Socialiste, écologiste et républicain",13956.92,14168.26,-1.4916439986279202
35238,216815,Rennes,Nathalie Appéré,"Socialiste, écologiste et républicain",961243.16,919524.59,4.536971654015263
37214,15960,Saint-Cyr-sur-Loire,Philippe Briand,Les républicains,157303.27,144057.76,9.19458278401662
38138,3282,Crémieu,Alain Moyne-Bressand,Les républicains,74815.92,73698.6,1.5160667909566699
39300,17291,Lons-le-Saunier,Jacques Pélissard,Les républicains,181378.28,179447.23,1.0761102302888645
42187,34366,Roanne,Yves Nicolin,Les républicains,336633.52,285590.69,17.872721971434018
45234,116685,Orléans,Olivier Carré,Les républicains,776232.83,709912.2,9.342089063971574
47106,4834,Fumel,Jean-Louis Costes,Les républicains,92044.93,84611.55,8.785301770266576
47165,1326,Meilhan-sur-Garonne,Régine Povéda,"Socialiste, écologiste et républicain",40328.28,39726.78,1.5140920054431797
49015,13692,Avrillé,Marc Laffineur,Les républicains,173439.2,135910.32,27.612973025153646
49099,53917,Cholet,Gilles Bourdouleix,Députés non inscrits,600328.77,567683.53,5.750605447369591
49353,14658,Trélazé,Marc Goua,"Socialiste, écologiste et républicain",127307.75,126458.42,0.6716278757871573
51108,44753,Châlons-en-Champagne,Benoist Apparu,Les républicains,269084.97,263662.71,2.0565137937025493
51454,182460,Reims,Arnaud Robinet,Les républicains,753406.38,602063.8,25.137299402488566
54329,18287,Lunéville,Jacques Lamblin,Les républicains,157797.14,160382.88,-1.6122294349621296
54526,8887,Tomblaine,Hervé Féron,"Socialiste, écologiste et républicain",111049.02,109970.64,0.9806071875184181
57206,13931,Fameck,Michel Liebgott,"Socialiste, écologiste et républicain",181017.12,157381.77,15.017844824086046
57227,21552,Forbach,Laurent Kalinowski,"Socialiste, écologiste et républicain",248456.16,222568.74,11.631202117601966
57630,12045,Sarrebourg,Alain Marty,Les républicains,131973.62,130907.51,0.8143994183374205
57631,20783,Sarreguemines,Céleste Lett,Les républicains,264034.68,223643.32,18.060615447847933
59113,1345,Bruille-lez-Marchiennes,Jean-Jacques Candelier,Gauche démocrate et républicaine,52112.72,48862.67,6.6513966592492855
59122,32558,Cambrai,François-Xavier Villain,Union des démocrates et indépendants,289670.74,232365.88,24.661477838312575
59172,19825,Denain,Anne-Lise Dufour-Tonini,"Socialiste, écologiste et républicain",252631.71,208380.41,21.235825383009846
59462,4729,Phalempin,Thierry Lazaro,Les républicains,107283.96,105641.91,1.554354706384997
59526,15889,Saint-Amand-les-Eaux,Alain Bocquet,Gauche démocrate et républicaine,160579.36,169438.98,-5.228796821132908
59606,43336,Valenciennes,Laurent Degallaix,Union des démocrates et indépendants,281309.53,225761.4,24.604795150986856
59650,40958,Wattrelos,Dominique Baert,"Socialiste, écologiste et républicain",233047.44,233055.34,-0.0033897528372420814
60171,181,Courtieux,Lucien Degauchy,Les républicains,15852.43,15616.08,1.5135040291801807
60636,4558,Thourotte,Patrice Carvalho,Gauche démocrate et républicaine,107294.16,104635.14,2.5412304126510503
61169,14734,Flers,Yves Goasdoue,"Socialiste, écologiste et républicain",184282.92,157446.95,17.044452115458572
62080,3887,Bapaume,Jean-Jacques Cottel,"Socialiste, écologiste et républicain",73426.92,58841.83,24.78694153461916
