Région,Circo,Dpt,Candidat,H,F,Soutien au PS,Soutien au PC,Autre soutien,Absence voulue
Champagne-Ardennes,08_1,08,Christophe Dumont,1,,,,,
Champagne-Ardennes,08_2,08,Réciprocité PS,,,1,,,
Champagne-Ardennes,08_3,08,Cédric Sauvage,1,,,,,
Champagne-Ardennes,10_1,10,Michel Gueritte,1,,,,,
Champagne-Ardennes,10_2,10,Benjamin Birêne,1,,,,,
Champagne-Ardennes,10_3,10,Soutien à Nouvelle Donne,,,,,1,
Champagne-Ardennes,51_1,51,Marie-Ange Petit,,1,,,,
Champagne-Ardennes,51_2,51,Patricia Coradel,,1,,,,
Champagne-Ardennes,51_3,51,David Nicanor,1,,,,,
Champagne-Ardennes,51_4,51,Françoise Brunel,,1,,,,
Champagne-Ardennes,51_5,51,Catherine Bony,,1,,,,
Champagne-Ardennes,52_1,52,Patrick Varney,1,,,,,
Champagne-Ardennes,52_2,52,Valérie Roffidal,,1,,,,
Alsace,67_1,67,Abdelkarim Ramdane,1,,,,,
Alsace,67_2,67,Leyla Binici,,1,,,,
Alsace,67_3,67,Christelle Syllas,,1,,,,
Alsace,67_4,67,Nathalie Palmier,,1,,,,
Alsace,67_5,67,Caroline Reys,,1,,,,
Alsace,67_6,67,Alexandre Gonçalves,1,,,,,
Alsace,67_7,67,Sandrine Lombard,,1,,,,
Alsace,67_8,67,Réciprocité PS,,,1,,,
Alsace,67_9,67,Absence voulue,,,,,,1
Alsace,68_1,68,Frédéric Hilbert,1,,,,,
Alsace,68_2,68,Laurent Dreyfus,1,,,,,
Alsace,68_3,68,Réciprocité PS,,,1,,,
Alsace,68_4,68,Michel Knoerr,1,,,,,
Alsace,68_5,68,Florence Peter,,1,,,,
Alsace,68_6,68,Réciprocité PS,,,1,,,
Lorraine,54_1,54,Réciprocité PS,,,1,,,
Lorraine,54_2,54,Réciprocité PS,,,1,,,
Lorraine,54_3,54,Mikael Agopiantz,1,,,,,
Lorraine,54_4,54,Marie-Neige Houchard,,1,,,,
Lorraine,54_5,54,Patrick Baranger,1,,,,,
Lorraine,54_6,54,Stéphane Léonardi,1,,,,,
Lorraine,55_1,55,Jean-Marc Fleury,1,,,,,
Lorraine,55_2,55,Soutien au PC,,,,1,,
Lorraine,57_1,57,Réciprocité PS,,,1,,,
Lorraine,57_2,57,Marie-Pierre Comte,,1,,,,
Lorraine,57_3,57,Mathias Boquet,1,,,,,
Lorraine,57_4,57,Brigitte Albertus,,1,,,,
Lorraine,57_5,57,Elisabeth Parachini,,1,,,,
Lorraine,57_6,57,Chantal Mary,,1,,,,
Lorraine,57_7,57,Martine Jung,,1,,,,
Lorraine,57_8,57,Pascal Didier,1,,,,,
Lorraine,57_9,57,Guy Harau,1,,,,,
