code_circo,Titulaire,TG,Suppléant,SG,code_dpt,circo
01_1,Fabrine MARTIN ZEMLIK,F,Serge TISSOT,H,1,1
01_2,Sylviane THIEBAULT,F,Dominique COLAS,H,1,2
01_3,Christian JOLIE,H,Virginie Polsinelli,F,1,3
01_4,Line HUGUET,F,Cédric Raffin,H,1,4
01_5,Bertrand Jacquier,H,Nora Kerzazi,F,1,5
02_1,Jean-Marc Chamblay,H,Maryline Pierrot,F,2,1
02_2,Sarah Lempereur,F,Bastien Blanchart,H,2,2
02_3,,,,,2,3
02_4,Régis POMMEROLLE,H,SYLVIE HEYVAERTS,F,2,4
02_5,Omar Fenardji,H,Isabelle Lambert,F,2,5
03_1,Frédéric Desnoix,H,Michelle Kapala,F,3,1
03_2,Sylvain Bourdier,H,Emmanuelle Michon,F,3,2
03_3,Marie-Thérèse Dupuis,F,Geoffrey Ortuno,H,3,3
04_1,Emmanuelle Gaziello,F,Eric Vuoso,H,4,1
04_2,Laurent WALTER,H,Evelyne BLANC,F,4,2
05_1,Eléonore Flandin,F, ,,5,1
05_2,Audrey Vincent-Nedelec,F,Christophe Tassaux,H,5,2
06_1,Yannick ARHAN,H,Liliane Dotta,F,6,1
06_2,Sonia Naffati,F,Pierre-Emmanuelle Jeanne Somer,F,6,2
06_3,Bruno COULET,H,Claude Dalbera,F,6,3
06_4,Zohra Briand,F,Didier PLAGNOL,H,6,4
06_5,Philippe PELLEGRINI,H,Christine Evain,F,6,5
06_6,Prune Helfter-Noah,F,Stéphane Pons,H,6,6
06_7,Philippe Carenzo,H,Michèle Charles,F,6,7
06_8,Maddy VARD,F,Luc Biasso,H,6,8
06_9,Denis LEBLANC,H,Christine Le Bouteiller,F,6,9
07_1,Paul Raoul,H,Luisa Sanchez,F,7,1
07_2,Samia HASNAOUI,F,Jacques Deplace,H,7,2
07_3,Alain JOFFRE,H,Florence Pallot,F,7,3
08_1,Françoise Verlhac,F, ,,8,1
08_2,Michel Cartiaux,H,Marie-Corinne GILLET née DOLEZ,F,8,2
08_3,Sophie Perrin,F, ,,8,3
09_1,Bénédicte Taurine,F,Marcel Lopez,H,9,1
09_2,Michel Larive,H,Ingrid Lavoine,F,9,2
10_1,Alexandre Faou,H,Julie Lapeyre,F,10,1
