code_circo,Titulaire,Suppléant,code_dpt,circo
01_1,Fabrine MARTIN ZEMLIK,Serge TISSOT,1,1
01_2,Sylviane THIEBAULT,Dominique COLAS,1,2
01_3,Christian JOLIE,Virginie Polsinelli,1,3
01_4,Line HUGUET,Cédric Raffin,1,4
01_5,Bertrand Jacquier,Nora Kerzazi,1,5
02_1,Jean-Marc Chamblay,Maryline Pierrot,2,1
02_2,Sarah Lempereur,Bastien Blanchart,2,2
02_4,Régis POMMEROLLE,SYLVIE HEYVAERTS,2,4
02_5,Omar Fenardji,Isabelle Lambert,2,5
03_1,Frédéric Desnoix,Michelle Kapala,3,1
03_2,Sylvain Bourdier,Emmanuelle Michon,3,2
03_3,Marie-Thérèse Dupuis,Geoffrey Ortuno,3,3
04_1,Emmanuelle Gaziello,Eric Vuoso,4,1
04_2,Laurent WALTER,Evelyne BLANC,4,2
05_1,Eléonore Flandin, ,5,1
05_2,Audrey Vincent-Nedelec,Christophe Tassaux,5,2
06_1,Yannick ARHAN,Liliane Dotta,6,1
06_2,Sonia Naffati,Pierre-Emmanuelle Jeanne Somer,6,2
06_3,Bruno COULET,Claude Dalbera,6,3
06_4,Zohra Briand,Didier PLAGNOL,6,4
06_5,Philippe PELLEGRINI,Christine Evain,6,5
06_6,Prune Helfter-Noah,Stéphane Pons,6,6
06_7,Philippe Carenzo,Michèle Charles,6,7
06_8,Maddy VARD,Luc Biasso,6,8
06_9,Denis LEBLANC,Christine Le Bouteiller,6,9
07_1,Paul Raoul,Luisa Sanchez,7,1
07_2,Samia HASNAOUI,Jacques Deplace,7,2
07_3,Alain JOFFRE,Florence Pallot,7,3
08_1,Françoise Verlhac, ,8,1
08_2,Michel Cartiaux,Marie-Corinne GILLET née DOLEZ,8,2
08_3,Sophie Perrin, ,8,3
09_1,Bénédicte Taurine,Marcel Lopez,9,1
09_2,Michel Larive,Ingrid Lavoine,9,2
10_1,Alexandre Faou,Julie Lapeyre,10,1
10_2,Elise Géhin,André Smolarz,10,2
10_3,Yves BOUTEILLER,Janny Borca,10,3
11_1,Marine Toro, ,11,1
11_2,Jean-Hugues SILBERMAN,NADINE SANCHEZ,11,2
11_3,Manon LE BRETTON,Jean-Didier Carré,11,3
12_1,Pierre-Arnaud Defontaines, ,12,1
12_2,Pascal Mazet,Céline Hebeisen,12,2
12_3,Catherine LAUR,Théo Ollivier--Triquet,12,3
13_1,Bernard Borgialli,Marie-Hélène RICE,13,1
13_10,Jacques Charton,Michelle Blanchard,13,10
13_11,Claudie HUBERT,Guillaume DALLA COSTA,13,11
13_12,Damien Merono,Nathalie MICHELUCCI epouse CHABRAND,13,12
13_13,Fabrice Aubert,Stella APEDDU,13,13
13_14,Hélène Le Cacheux,Jean-Yves Salvat,13,14
13_15,Michèle JUNG  (titulaire),Jean-Pierre ,13,15
13_16,Gérard GERON, ,13,16
13_2,Ariane Gil,Michel Rabillé,13,2
13_3,SARAH SOILIHI,Raymond Lopez,13,3
13_4,Jean-Luc Mélenchon, ,13,4
13_5,Hendrik Davi,Anne Mandine,13,5
13_6,Annie Gal,Mikaël Balmont,13,6
13_7,Ouali BRINIS,Armelle Rioualen,13,7
13_8,Nadia GRAINDORGE, ,13,8
13_9,Sylvie Pille-Lesou,Eric Remen,13,9
14_1,Karinne GUALBERT,Alexandre Besselievre,14,1
14_2,ETIENNE BRASSELET, ,14,2
14_3,Didier Canu,Sylvie Busato Cozzi,14,3
14_4,Stéphane Poussier, ,14,4
14_6,Paul Demeilliers,Annie Lepinette,14,6
15_1,Thierry Bonhoure,Benoite Favre,15,1
16_1,Martine Boutin,Daniel GAUTIER,16,1
16_2,Nathalie Jabli,Grégoire Feybesse,16,2
16_3,Véronique Bachelier Gregori,Laurent ROUSSEL,16,3
17_1,Cédric Ruffié,Yhlem Dekkiche,17,1
17_2,Maud Assila,Christophe Geffré,17,2
17_3,Rémy Catrou,Maryvonne Filipovitch,17,3
17_4,Lucie Kirchner,Tony Launay,17,4
17_5,Geoffrey Lebreton,Marie-Claude Marlin,17,5
18_1,Frederic Renard,Corinne Trussardi,18,1
18_2,Souade Kastani,Thierry Lopez,18,2
18_3,Jean Riffet,Patricia Guéhenneux,18,3
19_1,Jean-Marc Vareille,Lucrèce La Chenardière,19,1
19_2,Selin Ersoy,Roland Rupage,19,2
21_1,Arnaud Guvenatam,Natacha Camus,21,1
21_2,Patricia Marc,SYLVAINE AMALRIC,21,2
21_3,Boris Obama,Catherine DREMEAU,21,3
21_4,Stéphane GUINOT,Brigitte Mindus,21,4
21_5,Elisabeth Kremer, ,21,5
22_1,Marion Gorgiard,Philippe Guégan,22,1
22_2,Didier GIFFRAIN,ANDREE  CLAIRE BAZIN,22,2
22_3,Ronan Glaziou,Christelle Marcq,22,3
22_4,Murielle LEPVRAUD,Henri DUCLUT,22,4
22_5,Marie-Amélie Troadec,Romain Hipeau,22,5
23_1,Laurence Pache,Laurent Sauvajon,23,1
24_1,Hélène Reys, ,24,1
24_2,Pascal Dumeste,Chrystel Boutillier,24,2
24_3,Philippe Guillerme, ,24,3
24_4,Emilie Chalard,Luis Ferreyra,24,4
25_1,Habiba Delacour,José Gahona,25,1
25_2,Claire Arnoux,Daniel CONVERSY,25,2
25_3,Christophe Espolio,Morgane Paulet,25,3
25_4,Nadia Barznica,Christian Millet,25,4
25_5,Martine Ludi,Ivan Bouday,25,5
26_1,Karine Messina, ,26,1
26_2,Rachel Mahé,gilles reynaud,26,2
26_3,Didier Thévenieau,Hélène Lacheret,26,3
26_4,Emmanuelle OULD AOUDIA,Jean-Bernard SUCHEL,26,4
27_1,Michaël Després,Cécile Soulignac,27,1
27_2,Nathalie PACOURET,Jean-Paul BOITEUX,27,2
27_5,Pierre ZIMMERMANN,Laurence FILIPPINI,27,5
28_1,Juliette Bayanski, ,28,1
28_2,Jean-Michel DEJENNE,Agnès Cueille,28,2
28_3,Régis REBOUL,Isabelle Goupy,28,3
28_4,Sophie Sinatti, ,28,4
29_1,Jugdeep Harvinder,Benjamin Toutant,29,1
29_2,Pierre-Yves Cadalen,Cécile Beaudouin,29,2
29_3,Christine Panaget,Bertrand SEYS,29,3
29_4,Julien Kerguillec,Diane CHEVAIS,29,4
29_5,Karine Demoulin, ,29,5
29_6,Jean Michel LUCAS,Lauriane Feyeux,29,6
29_7,Roland JAOUEN,Isabelle Loeffel,29,7
29_8,Emmanuel Magnan,Annie Perron,29,8
2A_1,Jacques Casamarta,Christine Malfroy,2A,1
2B_1,Catherine Laurenti,Claude Franceschi,2B,1
2B_2,Jean Moghraoui,Amélie Raffeali,2B,2
30_1,Yannick Battefort,Mohammed El Marouani,30,1
30_2,Danielle FLOUTIER,Benoît Ode,30,2
30_3,Geneviève Sabathé,Charlotte Montels,30,3
30_4,Lucie Rousselou,Thomas Champigny,30,4
30_5,Guillaume Roiron, ,30,5
30_6,Karine VOINCHET,Arnaud VALENTIN,30,6
31_1,CLAIRE DUJARDIN,Pascal FRAPPEREAU,31,1
31_10,Monique Fabre,Kévin Grenèche,31,10
31_2,Anne Stambach-Terrenoir,Romain BARTHES,31,2
31_3,Gilles Naudy,Agathe Roby,31,3
31_4,Liem Hoang Ngoc,Marie-Hélène Sistac,31,4
31_5,SYLVIE ESPAGNOLLE-LABRUNE,Olivier Doumerg,31,5
31_6,Patrick Jimena,Nadine STOLL,31,6
31_7,Christophe BEX,Lauren Baron,31,7
31_8,Philippe GIMENEZ,Sophie Lechat,31,8
31_9,Manuel Bompard,Laure Tachoires,31,9
32_1,Pascal Penetro,Sophie Buys,32,1
32_2,Myriam Rimbert,Richard Tancogne,32,2
33_1,Evelyne Cervantes,WILLIAM VANDELANNOOTE,33,1
33_10,Eloïse Bajou,Clément Brun,33,10
33_11,Joëlle Losson,Rémi Lebas de Lacour,33,11
33_12,Christophe Miqueu, ,33,12
33_2,Camille Douberchtein-Grigorieff,Aude DARCHY,33,2
33_3,Loïc Prudhomme,Tiphaine Maurin,33,3
33_4,Maud Besson,Eric BAREYT,33,4
33_5,Martine Calvo,Jean-Louis BOUTEILA,33,5
33_6,Marie Duret-Pujol,Grégory Teychon,33,6
33_7,Hélène Richard,Jean-Luc Boisseau,33,7
