genre,nom,code_dpt,circo
H,Laurent MALLET,1,1
F,Marie-Jeanne BÉGUET,1,2
F,Olga GIVERNET,1,3
H,Stéphane TROMPILLE,1,4
F,Hélène DE MEIRE,1,5
F,Aude BONO,2,1
H,Marc DELATTE,2,3
H,Jacques KRABAL,2,5
F,Pauline RIVIERE,3,1
F,Laurence VANCEUNEBROCK-MIALON,3,2
F,Bénédicte PEYROL,3,3
F,Delphine BAGARRY,4,1
H,Christophe CASTANER,4,2
F,Caroline REVERSO-MEINIETTI,6,1
F,Alexandra VALETTA ARDISSON,6,4
F,Nathalie AUDIN,6,6
H,Khaled BEN ABDERAHMANE,6,7
H,Philippe BUERCH,6,8
H,Dominique FILLEBEEN,6,9
F,Laurette GOUYET-POMMARET,7,2
H,Matthieu PEYRAUD,7,3
H,Jean Pierre MORALI,8,1
H,Mario IGLESIAS,8,2
F,Huguette BERTRAND VINZERICH,9,2
H,Gregory BESSON-MOREAU,10,1
F,Djamila HADDAD,10,2
F,Danièle HERIN,11,1
H,Alain PEREA,11,2
F,Mireille ROBERT,11,3
H,Stéphane MAZARS,12,1
F,Anne BLANC,12,2
H,Jean-Louis AUSTRUY,12,3
H,Thierry MICHELS,67,1
H,Bruno STUDER,67,3
F,Martine WONNER,67,4
F,Eliane TOMASZEWSKI,67,5
H,Guy SALOMON,67,6
F,Antoinette DE SANTIS,67,7
H,Christian GLIECH,67,8
H,Vincent THIEBAUT,67,9
H,Pascal CHAMASSIAN,13,1
F,Claire PITOLLAT,13,2
F,Corinne VERSINI,13,4
F,Cathy RACON-BOUZON,13,5
F,Eléonore LEPRETRE,13,6
H,Jean-Marc ZULESI,13,8
F,Sylvie BRUNET,13,9
H,François-Michel LAMBERT,13,10
F,Céline GAILHAC,13,12
F,Anne-Laurence PETEL,13,14
F,Nathalie FARRO,13,15
F,Monica MICHEL,13,16
H,Eric HALPHEN,14,2
H,Christophe BLANCHET,14,4
H,Bertrand BOUYX,14,5
H,Alain TOURRET,14,6
H,François DANEMANS,15,1
F,Patricia ROCHES,15,2
H,Thomas MESNIER,16,1
F,Sandra MARSAUD,16,2
F,Madeleine NGOMBET BITOO,16,3
F,Otilia FERREIRA,17,1
F,Frederique GUEREAU - TUFFNELL,17,2
H,Jean Philippe ARDOUIN,17,3
H,Raphael GERARD,17,4
H,Christian GERIN,17,5
