code_circo,nom,genre
76_7,Agnès Firmin Le Bodo,F
42_2,Alexandra Custodio,F
73_4,Alexandra Turnar,F
971_1,Alix Huygues-Beaufond,F
35_8,Amélie Dhalluin,F
14_2,Aminthe Renouf,F
21_1,Anne Erschens,F
69_1,Anne Lorne,F
33_2,Anne Valryck,F
75_16,Anne-Constance Onghena,F
56_6,Anne-Maud Goujon,F
81_2,Anne-Michèle Bianchi,F
25_5,Annie Genevard,F
09_1,Aude Resseguier,F
94_11,Audrey Gaudron,F
75_17,Babette de Rozières,F
32_2,Barbara Neto,F
72_3,Béatrice Pavy,F
08_1,Bérengère Poletti,F
94_9,Bernadette Herault,F
82_1,Brigitte Bareges,F
75_4,Brigitte Kuster,F
92_4,Camille Bedin,F
2A_2,Camille de Rocca-Serra,F
57_7,Carole Piette,F
49_1,Caroline Fel,F
62_12,Caroline Meloni,F
59_1,Caroline Vannier,F
91_1,Caroline Varin,F
71_3,Catherine Amiot,F
05_1,Catherine Asso,F
34_3,Catherine Dardé,F
35_1,Catherine Rolandin,F
34_5,Catherine Rouillé-Pasquali,F
51_2,Catherine Vautrin,F
11_3,Catherine Vergé,F
77_11,Cathy Bissonnier,F
57_5,Céleste Lett,F
37_1,Céline Ballesteros,F
77_8,Chantal Brunel,F
33_11,Chantal Dugourd,F
72_1,Christelle Morançais,F
93_4,Christine Cerrigone,F
31_2,Christine Gennaro-Saint,F
44_9,Claire Hugues,F
76_9,Clarisse Coufourier,F
37_2,Claude Greff,F
999_6,Claudine Schmid,F
42_5,Clothilde Robin,F
66_3,Danièle Pages,F
75_5,Déborah Pawlik,F
69_4,Dominique Nachury,F
87_2,Dominique Sauget,F
16_1,Elise Vouvet-Laguionnie,F
38_3,Elodie Léger,F
67_1,Elsa Schalck,F
73_3,Emilie Bonnivard,F
62_5,Fabienne Chochois,F
59_2,Florence Bariseau,F
44_8,Florence Beuvelet,F
33_5,Florence Legrand,F
19_1,Françoise Beziat,F
31_7,Françoise Borret,F
25_1,Françoise Branget,F
83_4,Françoise Dumont,F
76_2,Françoise Guégot,F
60_3,Frederique Leblanc,F
19_2,Frédérique Meunier,F
24_2,Gaëlle Blanc-Lajoinie,F
29_6,Gaëlle Nicolas,F
83_1,Geneviève Levy,F
93_2,Hayette Hamidi,F
70_2,Isabelle Géhin,F
44_5,Isabelle Grousseau,F
24_3,Isabelle Hyvoz,F
35_5,Isabelle Le Callennec,F
02_4,Isabelle Létrillart,F
86_1,Jacqueline Daigre,F
66_4,Jacqueline Irles,F
83_6,Josette Pons,F
71_2,Josiane Corneloup,F
59_11,Karine Charbonnier-Beck,F
972_1,Karine Mousseau,F
33_7,Karine Roux-Labat,F
29_8,Laetitia Boidin,F
91_5,Laure Darcos,F
28_3,Laure de la Raudière,F
75_9,Laure Esquieu,F
31_3,Laurence Arribagé,F
999_3,Laurence Azzena-Gougeon,F
69_2,Laurence Balas,F
34_4,Laurence Cristol,F
999_5,Laurence Sailliet,F
30_5,Léa Boyer,F
