Hosts,Host,Role,Portfolio,Date,Subject,Lobby Organisation,id
Pauline Rouch,Pauline Rouch,Cabinet,Presidency,20/11/2014,"Meeting with Rachel Whetstone, Google's Senior Vice President for Communications and Policy: role of internet and innovation to foster economic growth and job creation in Europe and Google initiatives in that field",Google,406
Eduard Hulicius,Eduard Hulicius,Cabinet,Justice,02/12/2014,Data protection,Google,405
Denzil Davidson,Denzil Davidson,Cabinet,Financial Markets,08/12/2014,Financial Services Policy,Apple,404
Friedrich-Nikolaus Von Peter,Friedrich-Nikolaus Von Peter,Cabinet,Transport,09/12/2014,Presentation from Vienna City Council on Smart City Wien,Google,403
Director-General Stephen Quest,Stephen Quest,Director-General,Digital Economy,11/12/2014,IT trends in the public sector,Microsoft,402
Michael Hager,Michael Hager,Cabinet,Digital Economy,22/12/2014,Digital market regulation / Digital skills,Microsoft,401
Tomasz Husak,Tomasz Husak,Cabinet,Internal Market,06/01/2015,"Microsoft's policies in the field of entrepreneurship of young people in Europe (YouthSpark), supporting start-ups (through BizSpark), helping SMEs (partner network) and the coherence of Microsoft's policies with the objectives of the Commissioner and future cooperation",Microsoft,400
Stig Joergen Gren,Stig Joergen Gren,Cabinet,Digital Single Market,07/01/2015,Platforms,Google,398
Director-General Vladimir Šucha,Vladimir Šucha,Director-General,Education,07/01/2015,Horizon scanning of new emerging technologies and spill-over of digital innovation to other sectors,Google,399
Michael Hager,Michael Hager,Cabinet,Digital Economy,14/01/2015,Digital skills,Microsoft,395
Juhan Lepassaar Stig Joergen Gren,Juhan Lepassaar,Cabinet,Digital Single Market,14/01/2015,Digital Single Market and Telecom Package reform,Microsoft,393
Stig Joergen Gren Juhan Lepassaar,Juhan Lepassaar,Cabinet,Digital Single Market,14/01/2015,Digital Single Market and Telecom Package reform,Microsoft,394
Juhan Lepassaar Stig Joergen Gren,Stig Joergen Gren,Cabinet,Digital Single Market,14/01/2015,Digital Single Market and Telecom Package reform,Microsoft,396
Stig Joergen Gren Juhan Lepassaar,Stig Joergen Gren,Cabinet,Digital Single Market,14/01/2015,Digital Single Market and Telecom Package reform,Microsoft,397
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,16/01/2015,Round Table on Gender Diversity,Microsoft,392
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,19/01/2015,Digital Economy and Society,Google,388
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,19/01/2015,"Digital Single Market, broadband investment, Google SME initiatives",Google,387
Stig Joergen Gren Kamila Kloc,Kamila Kloc,Cabinet,Digital Single Market,19/01/2015,"Digital Single Market, broadband investment, Google SME initiatives",Google,389
Stig Joergen Gren Kamila Kloc,Stig Joergen Gren,Cabinet,Digital Single Market,19/01/2015,"Digital Single Market, broadband investment, Google SME initiatives",Google,390
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,19/01/2015,Data protection,Google,391
Kaius Kristian Hedberg Fabrice Comptour,Fabrice Comptour,Cabinet,Internal Market,20/01/2015,Future of the Information Society,Google,384
Kaius Kristian Hedberg Fabrice Comptour,Kaius Kristian Hedberg,Cabinet,Internal Market,20/01/2015,Future of the Information Society,Google,385
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,20/01/2015,Data protection,Microsoft,386
Jasmin Battista,Jasmin Battista,Cabinet,Digital Single Market,21/01/2015,Web Services (cloud facilities) and Marketplace - Platform,Amazon,383
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,22/01/2015,Digital Single Market,Uber,376
Jasmin Battista,Jasmin Battista,Cabinet,Digital Single Market,22/01/2015,Digital Single Market,Uber,379
Commissioner Pierre Moscovici,Pierre Moscovici,Commissioner,Economics & Tax,22/01/2015,"Meeting with Mr Kaplan, Vice-President Global, Facebook",Facebook,380
Commissioner Pierre Moscovici,Pierre Moscovici,Commissioner,Economics & Tax,22/01/2015,"Meeting with Mr Drummond, Senior Vice President of Corporate Development, Google",Google,381
Commissioner Elżbieta Bieńkowska,Elżbieta Bieńkowska,Commissioner,Internal Market,22/01/2015,Introductory meeting,Uber,377
Fabrice Comptour,Fabrice Comptour,Cabinet,Internal Market,22/01/2015,Introductory meeting,Uber,378
Commissioner Violeta Bulc,Violeta Bulc,Commissioner,Transport,22/01/2015,Meeting with Uber,Uber,382
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,23/01/2015,Digital Economy,Facebook,372
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,23/01/2015,Digital Single Market / digital skills,Microsoft,373
Edward Bannerman,Edward Bannerman,Cabinet,Jobs & Growth,23/01/2015,Investment plan,Microsoft,371
Vice-President Jyrki Katainen,Jyrki Katainen,Vice-President,Jobs & Growth,23/01/2015,Investment plan,Microsoft,375
Commissioner Cecilia Malmström,Cecilia Malmström,Commissioner,Trade,23/01/2015,Digital Agenda and Trade Policy,Google,370
Jon Nyman,Jon Nyman,Cabinet,Trade,23/01/2015,Digital Agenda and Trade Policy,Google,374
Adrienn Kiraly,Adrienn Kiraly,Cabinet,Education,27/01/2015,Google News and Copyright,Google,368
Jonathan Michael Hill,Jonathan Michael Hill,Cabinet,Education,27/01/2015,Google News and Copyright,Google,369
Anna Herold,Anna Herold,Cabinet,Digital Economy,28/01/2015,Copyright,Google,367
Adrienn Kiraly,Adrienn Kiraly,Cabinet,Education,29/01/2015,"Minority languages, Multilingualism, Copyright",Amazon,364
Commissioner Tibor Navracsics,Tibor Navracsics,Commissioner,Education,29/01/2015,"Minority languages, Multilingualism, Copyright",Amazon,366
Heidi Jern,Heidi Jern,Cabinet,Jobs & Growth,29/01/2015,Digital Single Market,Amazon,365
Eric Mamer,Eric Mamer,Cabinet,Digital Economy,09/02/2015,Digital Single Market,Amazon,363
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,23/02/2015,"Digital Single Market, portability of content, standards and job creation through the app economy",Apple,361
Stig Joergen Gren,Stig Joergen Gren,Cabinet,Digital Single Market,23/02/2015,"Digital Single Market, portability of content, standards and job creation through the app economy",Apple,362
Michael Hager,Michael Hager,Cabinet,Digital Economy,25/02/2015,Regulatory issues,Microsoft,360
Carl-Christian Buhr,Carl-Christian Buhr,Cabinet,Agriculture,03/03/2015,Presentation of Google's Irish operations and Dublin Campus and of promotion activities to increase e-commerce success of food-chain companies,Google,354
Hanna Hinrikus,Hanna Hinrikus,Cabinet,Digital Single Market,03/03/2015,Digital skills,Microsoft,357
Maria Elena Scoppio,Maria Elena Scoppio,Cabinet,Economics & Tax,03/03/2015,Future corporate taxation rules in the EU,Apple,358
Sofia Asteriadi Diane Schmitt,Diane Schmitt,Cabinet,Home Affairs,03/03/2015,Proposals regarding Google contribution in the anti-radicalization debate and the fight against the presence of terrorism propaganda online,Google,355
Commissioner Dimitris Avramopoulos,Dimitris Avramopoulos,Commissioner,Home Affairs,03/03/2015,Proposals regarding Google contribution in the anti-radicalization debate and the fight against the presence of terrorism propaganda online,Google,356
Sofia Asteriadi Diane Schmitt,Sofia Asteriadi,Cabinet,Home Affairs,03/03/2015,Proposals regarding Google contribution in the anti-radicalization debate and the fight against the presence of terrorism propaganda online,Google,359
Patricia Reilly,Patricia Reilly,Cabinet,Education,04/03/2015,Microsoft education programmes,Microsoft,353
Markus Schulte,Markus Schulte,Cabinet,Digital Economy,16/03/2015,Digital Single Market,Apple,352
Eduard Hulicius,Eduard Hulicius,Cabinet,Justice,16/03/2015,ApplePay and mobile payment technologies in context of DSM,Apple,351
Pauline Rouch,Pauline Rouch,Cabinet,Presidency,17/03/2015,Digital Single Market,Amazon,350
Michael Hager,Michael Hager,Cabinet,Digital Economy,19/03/2015,Digital Single Market,Facebook,349
Director-General Xavier Prats Monné,Xavier Prats Monné,Director-General,Education,23/03/2015,Cooperation with Microsoft,Microsoft,347
Director-General Xavier Prats Monné,Xavier Prats Monné,Director-General,Education,23/03/2015,Future cooperation,Microsoft,348
Commissioner Tibor Navracsics,Tibor Navracsics,Commissioner,Education,24/03/2015,Digital Education,Microsoft,346
Michael Hager,Michael Hager,Cabinet,Digital Economy,26/03/2015,Digital skills,Google,343
