BUREAU DE VOTE,DEPARTEMENT,ARNAUD MONTEBOURG,MARTINE AUBRY,JEAN-MICHEL BAYLET,MANUEL VALLS,FRANCOIS HOLLANDE,SEGOLENE ROYAL,VOTES BLANCS,VOTES NULS
10001,01,45,74,2,24,79,15,0,1
10002,01,82,83,0,24,138,20,0,0
10003,01,46,82,1,14,66,22,0,0
10004,01,30,46,0,6,42,5,0,0
10005,01,40,67,0,8,71,9,1,0
10006,01,87,66,1,7,85,7,1,0
10007,01,128,180,2,27,196,36,2,0
10008,01,43,52,2,11,61,13,0,0
10009,01,20,22,2,2,16,4,0,0
10010,01,46,35,1,7,61,10,1,0
10011,01,57,76,2,20,90,12,0,1
10012,01,51,65,2,13,66,18,1,0
10013,01,100,73,2,8,82,16,0,2
10014,01,74,61,2,12,96,12,0,1
10015,01,50,81,1,30,101,16,0,1
10016,01,43,42,2,11,59,15,0,0
10017,01,57,51,4,7,75,14,0,0
10018,01,57,80,1,9,87,16,0,0
10019,01,56,57,2,20,76,17,1,0
10020,01,137,159,1,45,219,39,0,1
10021,01,94,143,4,43,196,24,0,0
10022,01,118,183,8,42,272,35,2,0
10023,01,72,84,6,12,109,6,0,1
10024,01,50,60,2,10,55,13,0,0
10025,01,31,86,0,20,78,10,0,1
10026,01,73,97,0,16,120,13,0,0
10027,01,47,75,1,9,61,10,0,1
10028,01,61,76,4,30,97,22,0,1
10029,01,120,128,4,29,139,31,0,0
10030,01,83,84,0,8,95,13,0,1
10031,01,36,48,1,9,76,15,0,1
10032,01,84,96,3,25,164,24,0,2
10033,01,57,44,2,7,53,6,0,0
10034,01,54,78,1,21,89,33,0,1
10035,01,23,35,1,8,51,6,0,1
10036,01,22,27,0,0,29,5,0,0
10037,01,58,43,0,9,25,10,0,0
10038,01,87,75,2,16,120,22,0,1
10039,01,80,110,4,15,97,9,0,0
10040,01,70,74,4,23,106,7,0,0
10041,01,77,84,0,17,96,17,0,0
10042,01,43,57,0,7,81,11,0,0
10043,01,191,89,0,20,149,15,0,1
10044,01,131,51,0,7,90,11,0,0
10045,01,193,101,4,26,160,17,0,2
10046,01,77,73,13,16,97,18,0,0
10047,01,52,59,2,11,99,14,0,1
10048,01,142,171,8,36,186,34,0,1
10049,01,84,77,3,22,101,10,0,0
10050,01,68,86,0,12,92,17,0,1
10051,01,49,66,1,9,72,20,0,0
10052,01,61,77,2,17,72,18,0,1
10053,01,53,60,3,13,74,10,0,0
10054,01,162,207,4,18,251,37,0,0
10055,01,60,83,2,24,113,18,0,0
10056,01,81,88,0,16,109,25,0,0
10057,01,105,151,3,25,152,24,0,1
10058,01,118,171,1,35,184,16,0,2
10059,01,112,105,2,25,157,22,0,0
10060,01,33,39,0,9,54,5,0,0
10061,01,89,67,0,14,89,8,0,1
10062,01,53,52,2,10,96,7,0,0
10063,01,58,58,3,11,72,11,0,0
20001,02,19,69,1,4,115,16,0,0
