nom complet,mairie,groupe,montant
François Asensi,Tremblay-en-France ,Gauche démocrate et républicaine,9430
Pierre Aylagas,Argelès-sur-Mer ,"Socialiste, républicain et citoyen",8000
Jean-Paul Bacquet,Coudes ,"Socialiste, républicain et citoyen",8368
Jean-Paul Bacquet,Coudes ,"Socialiste, républicain et citoyen",12408
Jean-Paul Bacquet,Coudes ,"Socialiste, républicain et citoyen",50000
Dominique Baert,Wattrelos ,"Socialiste, républicain et citoyen",50000
Patrick Balkany,Levallois-Perret ,Les Républicains,100000
Jacques Alain Bénisti,Villiers-sur-Marne ,Les Républicains,15000
Jean-Pierre Blazy,Gonesse ,"Socialiste, républicain et citoyen",20000
Alain Bocquet,Saint-Amand-les-Eaux ,Gauche démocrate et républicaine,6008
Alain Bocquet,Saint-Amand-les-Eaux ,Gauche démocrate et républicaine,13289
Alain Bocquet,Saint-Amand-les-Eaux ,Gauche démocrate et républicaine,110605
Daniel Boisserie,Saint-Yrieix-la-Perche ,"Socialiste, républicain et citoyen",20000
Gilles Bourdouleix,Cholet ,Députés non inscrits,80900
Philippe Briand,Saint-Cyr-sur-Loire ,Les Républicains,100000
Jean-Louis Bricout,Bohain-en-Vermandois ,"Socialiste, républicain et citoyen",20000
Jean-Claude Buisine,Hautvillers-Ouville ,"Socialiste, républicain et citoyen",61000
Jean-Jacques Candelier,Bruille-lez-Marchiennes ,Gauche démocrate et républicaine,21697
Jean-Noël Carpentier,Montigny-lès-Cormeilles ,"Radical, républicain, démocrate et progressiste",40000
Jean-Yves Caullet,Avallon ,"Socialiste, républicain et citoyen",3000
Jean-Yves Caullet,Avallon ,"Socialiste, républicain et citoyen",7000
Jean-Yves Caullet,Avallon ,"Socialiste, républicain et citoyen",8000
Jean-Yves Caullet,Avallon ,"Socialiste, républicain et citoyen",13000
Gaby Charroux,Martigues ,Gauche démocrate et républicaine,25000
Jérôme Chartier,Domont ,Les Républicains,30000
Guy-Michel Chauveau,La Flèche ,"Socialiste, républicain et citoyen",40000
