Ministère,Année,Dpt. d'origine,Bénéficiaire,Objet,Objectif,Subvention
Sports,2015,75,TESSALIT PRODUCTION,"Soutien à la production des films ""Champions de France""",soutien au sport citoyen,60000
Sports,2014,42,Commune de Saint Priest en Jarez,Aménagement du stade Charpenet et de l'école élémentaire,soutien au dvp de la pratique sportive,40000
Sports,2013,75,UNION NATIONALE SPORTIVE LEO LAGRANGE,Dvpt des activités socio-sportives dans les PEDT,soutien au développement de la pratique sportive,30000
Sports,2015,34,MONTPELLIER GR,Achat d'un praticable,soutien au développement de la pratique sportive,25000
Sports,2014,31,ASSOCIATION CAP O PAS CAP,La protection de l'eau (sécurité et consommation) grâce a l’exploit sportif : relier le Cap Horn à l'Antarctique à la force des bras en paddle board.,Developpement durable,20000
Sports,2014,75,FEDERATION FRANCAISE DE CHAR A VOILE,Soutien a la promotion du char à voile pour tous,soutien au dlvp pratique sportive,20000
Sports,2013,78,ASSOCIATION TOUR DE FETE,Projet Tour de France,Insertion par le sport,20000
Sports,2015,19,COMITE DEPARTEMENTAL DE PETANQUE DE LA CORREZE,Organisation des championnats de France,soutien au développement de la pratique sportive,15000
Sports,2015,59,TENNIS CLUB LILLOIS LILLE METROPOLE,Achat de matériel pour équiper le nouvel équipement du club,soutien au développement de la pratique sportive,15000
Sports,2014,69,CLUB RHONE ALPES DIVERSITE,Actions autour de la coupe du monde de foot,soutien au dlvp   pratique sportive comme lien social,15000
Sports,2013,75,UNIVERSITE VIRTUELLE FRANCOPHONE DE MECEDINE DU SPORT - M. RIEU,Aide fonctionnement medecine du sport dans les pays francophones,Sport comme facteur de santé,15000
Sports,2014,75,UNIVERSITE VIRTUELLE FRANCOPHONE,aide fonctionnement médecine sport ds pays francophones,soutien au dlvp  pratique sportive,15000
Sports,2016,75,LES ECRIVAINS SPORTIFS,Remise des prix annuels,,15000
Sports,2016,07,ASSOCIATION LES CONNEXIONS,"Mise en place du ""Tri Tour"" sport et écologie",,12000
Sports,2016,69,FC LYON,projet Tous aux couleurs de l'Euro,,12000
Sports,2013,92,Société AGORA EUROPE,Partenariat honneur conférence parlementaire dopage,Prévention du dopage,11960
Sports,2015,09,LUZENAC ARIEGE PYRENEES FOOTBALL ,Soutien à l'école de football,soutien au développement de la pratique sportive,10000
Sports,2015,13,UN SOURIRE A LA VIE,Developpement d'APS à l'hopital,Developpement du sport comme facteur de santé,10000
Sports,2013,54,POLE HIPPIQUE DE LORRAINE,amélioration du site pour en faire un pôle d'excellence,soutien au développement de la pratique sportive,10000
Sports,2015,59,COMPLEXE MOTOCYCLISTE LEZENNES LESQUIN,Travaux permettant l'homologation du circuit,Protection des usagers,10000
Sports,2016,69,LPO France,"projet ""biodi sports de montagne""",,10000
Sports,2016,69,INSTITUT LUMIERE,Tenue du festival Sport Littérature et Cinéma,,10000
Sports,2014,71,OLYMPIQUE MACON BOULES,mondiaux féminin 2014 de sport boules (FFSB),soutien  dlvp  pratique sportive,10000
Sports,2013,75,FEDERATION SPORTIVE GAIE ET LESBIENNE,candidature organisation Gay Games 2018,soutien au développement de la pratique sportive pr tous,10000
