departement,code,inscrits,abstention,exprimes,blancs,candidat,nuance,voix,% exp.,statut,vainqueur
001,00101,82694,42064,39931,511,MALLET,MDM,13534,33.89346622924545,Bal.,MDM
001,00101,82694,42064,39931,511,BLATRIX-CONTAT,SOC,3687,9.233427662718189,non,MDM
001,00101,82694,42064,39931,511,LÉPAGNOT,EXG,293,0.7337657459116977,non,MDM
001,00101,82694,42064,39931,511,MARTIN ZEMLIK,FI,3874,9.701735493726678,non,MDM
001,00101,82694,42064,39931,511,BRETON,LR,10693,26.778693245849087,Bal.,MDM
001,00101,82694,42064,39931,511,CARLIER,DIV,247,0.618567028123513,non,MDM
001,00101,82694,42064,39931,511,RAIMONDO,ECO,562,1.4074278129773858,non,MDM
001,00101,82694,42064,39931,511,FONTAINE,COM,656,1.6428338884575893,non,MDM
001,00101,82694,42064,39931,511,BUISSON,FN,6174,15.461671383135908,non,MDM
001,00101,82694,42064,39931,511,BONNOT,DIV,211,0.5284115098544989,non,MDM
001,00102,93524,47295,45598,461,MICHAUD,FN,7553,16.56432299662266,non,MDM
001,00102,93524,47295,45598,461,COLIN,ECO,2874,6.302908022281679,non,MDM
001,00102,93524,47295,45598,461,LEMERRE,DLF,1149,2.5198473617263915,non,MDM
001,00102,93524,47295,45598,461,SAHIN,DIV,194,0.4254572568972323,non,MDM
001,00102,93524,47295,45598,461,BRULLAND,COM,676,1.4825211632089128,non,MDM
001,00102,93524,47295,45598,461,BEGUET,MDM,16371,35.90289047765253,Bal.,MDM
001,00102,93524,47295,45598,461,GOUTAGNY,EXG,303,0.6645028290714505,non,MDM
001,00102,93524,47295,45598,461,DE LA VERPILLIÈRE,LR,11182,24.523005394973463,Bal.,MDM
001,00102,93524,47295,45598,461,THIEBAUT,FI,4896,10.737313040045617,non,MDM
001,00102,93524,47295,45598,461,CHOMETTE,DIV,400,0.8772314575200666,non,MDM
001,00103,75615,40837,34008,353,BORNE,DIV,488,1.4349564808280404,non,REM
001,00103,75615,40837,34008,353,MERCIER,ECO,1496,4.398964949423665,non,REM
001,00103,75615,40837,34008,353,BLOCH,COM,431,1.2673488590919784,non,REM
001,00103,75615,40837,34008,353,GIVERNET,REM,15405,45.298165137614674,Bal.,REM
001,00103,75615,40837,34008,353,SACCHI-HASSANEIN,SOC,1468,4.316631380851564,non,REM
001,00103,75615,40837,34008,353,NOBLET,FN,3808,11.197365325805693,non,REM
001,00103,75615,40837,34008,353,PERNOD BEAUDON,LR,7281,21.409668313338038,Bal.,REM
001,00103,75615,40837,34008,353,JOLIE,FI,3064,9.009644789461303,non,REM
001,00103,75615,40837,34008,353,LAHY,EXG,147,0.4322512350035286,non,REM
001,00103,75615,40837,34008,353,GENTILE,DVG,59,0.17348859091978358,non,REM
001,00103,75615,40837,34008,353,MOZER,DIV,361,1.0615149376617266,non,REM
001,00104,89410,45645,43033,502,CHÊNE,RDG,2025,4.705690981339902,non,REM
001,00104,89410,45645,43033,502,PARTENSKY-LEIBMAN,ECO,1391,3.2324030395278043,non,REM
001,00104,89410,45645,43033,502,BILLOUDET,LR,7178,16.68022215509028,non,REM
001,00104,89410,45645,43033,502,ADAM,DIV,97,0.22540840750122,non,REM
001,00104,89410,45645,43033,502,TROMPILLE,REM,15492,36.000278855761856,Bal.,REM
