code_circo,TG,SG,Titulaire,Suppléant
01_1,F,H,Fabrine MARTIN ZEMLIK,Serge TISSOT
01_2,F,H,Sylviane THIEBAULT,Dominique COLAS
01_3,H,F,Christian JOLIE,Virginie Polsinelli
01_4,F,H,Line HUGUET,Cédric Raffin
01_5,H,F,Bertrand Jacquier,Nora Kerzazi
02_1,H,F,Jean-Marc Chamblay,Maryline Pierrot
02_2,F,H,Sarah Lempereur,Bastien Blanchart
02_4,H,F,Régis POMMEROLLE,SYLVIE HEYVAERTS
02_5,H,F,Omar Fenardji,Isabelle Lambert
03_1,H,F,Frédéric Desnoix,Michelle Kapala
03_2,H,F,Sylvain Bourdier,Emmanuelle Michon
03_3,F,H,Marie-Thérèse Dupuis,Geoffrey Ortuno
04_1,F,H,Emmanuelle Gaziello,Eric Vuoso
04_2,H,F,Laurent WALTER,Evelyne BLANC
05_1,F,,Eléonore Flandin, 
05_2,F,H,Audrey Vincent-Nedelec,Christophe Tassaux
06_1,H,F,Yannick ARHAN,Liliane Dotta
06_2,F,F,Sonia Naffati,Pierre-Emmanuelle Jeanne Somer
06_3,H,F,Bruno COULET,Claude Dalbera
06_4,F,H,Zohra Briand,Didier PLAGNOL
06_5,H,F,Philippe PELLEGRINI,Christine Evain
06_6,F,H,Prune Helfter-Noah,Stéphane Pons
06_7,H,F,Philippe Carenzo,Michèle Charles
06_8,F,H,Maddy VARD,Luc Biasso
06_9,H,F,Denis LEBLANC,Christine Le Bouteiller
07_1,H,F,Paul Raoul,Luisa Sanchez
07_2,F,H,Samia HASNAOUI,Jacques Deplace
07_3,H,F,Alain JOFFRE,Florence Pallot
08_1,F,,Françoise Verlhac, 
08_2,H,F,Michel Cartiaux,Marie-Corinne GILLET née DOLEZ
08_3,F,,Sophie Perrin, 
09_1,F,H,Bénédicte Taurine,Marcel Lopez
09_2,H,F,Michel Larive,Ingrid Lavoine
10_1,H,F,Alexandre Faou,Julie Lapeyre
10_2,F,H,Elise Géhin,André Smolarz
10_3,H,F,Yves BOUTEILLER,Janny Borca
11_1,F,,Marine Toro, 
11_2,H,F,Jean-Hugues SILBERMAN,NADINE SANCHEZ
11_3,F,H,Manon LE BRETTON,Jean-Didier Carré
12_1,H,,Pierre-Arnaud Defontaines, 
12_2,H,F,Pascal Mazet,Céline Hebeisen
12_3,F,H,Catherine LAUR,Théo Ollivier--Triquet
13_1,H,F,Bernard Borgialli,Marie-Hélène RICE
13_10,H,F,Jacques Charton,Michelle Blanchard
13_11,F,H,Claudie HUBERT,Guillaume DALLA COSTA
13_12,H,F,Damien Merono,Nathalie MICHELUCCI epouse CHABRAND
13_13,H,F,Fabrice Aubert,Stella APEDDU
13_14,F,H,Hélène Le Cacheux,Jean-Yves Salvat
13_15,F,H,Michèle JUNG  (titulaire),Jean-Pierre 
13_16,H,,Gérard GERON, 
13_2,F,H,Ariane Gil,Michel Rabillé
13_3,F,H,SARAH SOILIHI,Raymond Lopez
13_4,H,,Jean-Luc Mélenchon, 
13_5,H,F,Hendrik Davi,Anne Mandine
13_6,F,H,Annie Gal,Mikaël Balmont
13_7,H,F,Ouali BRINIS,Armelle Rioualen
13_8,F,,Nadia GRAINDORGE, 
13_9,F,H,Sylvie Pille-Lesou,Eric Remen
14_1,F,H,Karinne GUALBERT,Alexandre Besselievre
14_2,H,,ETIENNE BRASSELET, 
14_3,H,F,Didier Canu,Sylvie Busato Cozzi
14_4,H,,Stéphane Poussier, 
14_6,H,F,Paul Demeilliers,Annie Lepinette
15_1,H,F,Thierry Bonhoure,Benoite Favre
16_1,F,H,Martine Boutin,Daniel GAUTIER
16_2,F,H,Nathalie Jabli,Grégoire Feybesse
16_3,F,H,Véronique Bachelier Gregori,Laurent ROUSSEL
17_1,H,F,Cédric Ruffié,Yhlem Dekkiche
17_2,F,H,Maud Assila,Christophe Geffré
17_3,H,F,Rémy Catrou,Maryvonne Filipovitch
17_4,F,H,Lucie Kirchner,Tony Launay
17_5,H,F,Geoffrey Lebreton,Marie-Claude Marlin
18_1,H,F,Frederic Renard,Corinne Trussardi
18_2,F,H,Souade Kastani,Thierry Lopez
18_3,H,H,Jean Riffet,Patricia Guéhenneux
19_1,H,F,Jean-Marc Vareille,Lucrèce La Chenardière
19_2,F,H,Selin Ersoy,Roland Rupage
21_1,H,F,Arnaud Guvenatam,Natacha Camus
21_2,H,F,Patricia Marc,SYLVAINE AMALRIC
21_3,H,F,Boris Obama,Catherine DREMEAU
21_4,H,F,Stéphane GUINOT,Brigitte Mindus
21_5,F,,Elisabeth Kremer, 
22_1,F,H,Marion Gorgiard,Philippe Guégan
22_2,H,F,Didier GIFFRAIN,ANDREE  CLAIRE BAZIN
22_3,H,F,Ronan Glaziou,Christelle Marcq
22_4,F,H,Murielle LEPVRAUD,Henri DUCLUT
22_5,F,H,Marie-Amélie Troadec,Romain Hipeau
23_1,F,H,Laurence Pache,Laurent Sauvajon
24_1,F,,Hélène Reys, 
24_2,H,,Pascal Dumeste,Chrystel Boutillier
24_3,H,,Philippe Guillerme, 
24_4,F,H,Emilie Chalard,Luis Ferreyra
25_1,F,H,Habiba Delacour,José Gahona
25_2,F,H,Claire Arnoux,Daniel CONVERSY
25_3,H,F,Christophe Espolio,Morgane Paulet
25_4,F,H,Nadia Barznica,Christian Millet
25_5,F,H,Martine Ludi,Ivan Bouday
26_1,F,,Karine Messina, 
26_2,F,H,Rachel Mahé,gilles reynaud
26_3,H,F,Didier Thévenieau,Hélène Lacheret
26_4,F,H,Emmanuelle OULD AOUDIA,Jean-Bernard SUCHEL
27_1,H,F,Michaël Després,Cécile Soulignac
27_2,F,H,Nathalie PACOURET,Jean-Paul BOITEUX
27_5,H,F,Pierre ZIMMERMANN,Laurence FILIPPINI
28_1,F,,Juliette Bayanski, 
28_2,H,F,Jean-Michel DEJENNE,Agnès Cueille
28_3,H,F,Régis REBOUL,Isabelle Goupy
28_4,F,,Sophie Sinatti, 
29_1,F,H,Jugdeep Harvinder,Benjamin Toutant
29_2,H,F,Pierre-Yves Cadalen,Cécile Beaudouin
29_3,F,H,Christine Panaget,Bertrand SEYS
29_4,H,F,Julien Kerguillec,Diane CHEVAIS
29_5,F,,Karine Demoulin, 
29_6,H,F,Jean Michel LUCAS,Lauriane Feyeux
29_7,H,F,Roland JAOUEN,Isabelle Loeffel
29_8,H,F,Emmanuel Magnan,Annie Perron
2A_1,H,F,Jacques Casamarta,Christine Malfroy
2B_1,F,F,Catherine Laurenti,Claude Franceschi
2B_2,H,H,Jean Moghraoui,Amélie Raffeali
30_1,F,H,Yannick Battefort,Mohammed El Marouani
30_2,F,H,Danielle FLOUTIER,Benoît Ode
